,titles,descriptions,links,site_name
0,Maatregelen na coronabesmettingen bij nertsen op Brabantse fokkerijen,De dieren vertoonden onder meer ademhalingsproblemen.,,www.parool.nl
1,"Minister: Tijd van volle treinen is voorbij, voorrang vitale beroepen lonkt",Het is geen optie meer om treinen of bussen tot de nok toe te vullen met mensen.,,www.parool.nl
2,Ic-verpleegkundige: ‘We hebben toch maar ons testament vastgelegd’,"Ic-verpleegkundige Martine Minnema (48) van het OLVG draagt urenlang een mondkapje, handschoenen, een overjas en een spatbril. Dat is warm en benauwd, maar zo hoeft ze niet bang te zijn dat ze op haar werk besmet raakt.",,www.parool.nl
3,Eerste repatriëringsvlucht uit Marokko naar Nederland,Nog zo’n 3000 Nederlanders zitten vast in Marokko wegens de coronacrisis.,,www.parool.nl
4,"De werkvloer na corona: schoon, koud en halfleeg","Hoe ziet de werkvloer eruit als we straks weer beginnen? Bij de eerste Amsterdamse kantoren wordt de 1,5 metereconomie al zichtbaar: pijlen op de vloer, spatschermen – en de koffie wordt persoonlijk geserveerd.",,www.parool.nl
5,Topman Air France-KLM: niet binnen 2 jaar terug naar normale situatie,De Nederlandse en Franse staat hebben Air France-KLM miljardenleningen beloofd.,,www.parool.nl
6,Opgestapte Kamerleden incasseerden in 2 jaar ruim 4 ton aan wachtgeld,"Opgestapte Tweede Kamerleden hebben de afgelopen twee jaar ruim 400.000 euro wachtgeld geïncasseerd. Ook wie vrijwillig vertrekt, heeft recht op een uitkering.",,www.parool.nl
7,NS mag rekening spoorgebruik later betalen vanwege coronacrisis,Het vervoersbedrijf heeft nu nauwelijks inkomsten.,,www.parool.nl
8,Weeronline verwacht warmste Koningsdag ooit,"Veel slechter kon de timing niet zijn: juist nu we vanwege de coronamaatregelen binnen moeten blijven, wacht ons de warmste Koningsdag ooit.",,www.parool.nl
9,De economische gevolgen van corona: het wordt erg of erger,De biljoenen die wereldwijd worden uitgetrokken kunnen niet alle schade voorkomen.,,www.parool.nl
10,Huisartsen: 764 coronapatiënten buiten ziekenhuis overleden,De huisartsen werken met een nieuw systeem.,,www.parool.nl
11,Dit was het belangrijkste coronanieuws van vrijdag 24 april,"Het kabinet denkt dit jaar 92 miljard euro tekort te komen en pompt tot 4 miljard euro in KLM om de noodlijdende luchtvaartmaatschappij overeind te houden. Lees hier het belangrijkste coronanieuws van vrijdag 24 april, de dag waarop het aantal coronapatiënten op Nederlandse ic's tot onder de duizend daalde.",,www.parool.nl
12,Nederland pompt tot vier miljard in KLM,"KLM zit te springen om geld, nu het overgrote deel van de vloot al weken aan de grond staat.",,www.parool.nl
13,Uitstootdoel Urgenda lijkt ineens haalbaar,Het kabinet lijkt per ongeluk dit jaar toch te voldoen aan het Urgendavonnis. Nieuwe maatregelen moeten ervoor zorgen dat er volgend jaar ook minder CO2-wordt uitgestoten.,,www.parool.nl
14,Lokale motorclub-chapters toegestaan ondanks verbod Bandidos Holland,Ook is er volgens de Raad geen sprake van een wereldwijde Bandidos-organisatie.,,www.parool.nl
15,Statiegeld op plastic flesjes vanaf volgend jaar juli,"Per 1 juli 2021 wordt statiegeld op plastic flesjes ingevoerd. Dat heeft staatssecretaris Stientje van Veldhoven (Milieu) met het bedrijfsleven afgesproken, schrijft ze aan de Tweede Kamer. Het gaat om 15 cent per flesje.",,www.parool.nl
16,Minister Schouten: In 2030 moet stikstofprobleem voor de helft zijn opgelost,5 miljard euro gaat naar onder meer natuurherstel en uitkoopregelingen voor boeren.,,www.parool.nl
17,Rutte: coronacrisis is enorme dreun voor economie,"De coronacrisis geeft de Nederlandse economie een ‘enorme dreun’. Dat heeft premier Mark Rutte gezegd tijdens een persconferentie, na de wekelijkse ministerraad.",,www.parool.nl
18,Groei aantal kankerdiagnoses na tijdelijke dip coronacrisis,"Het aantal nieuwe kankerdiagnoses groeit weer na een dip. Tijdens de coronacrisis daalde het aantal mensen bij wie kanker werd vastgesteld weken achter elkaar. Vermoedelijk zijn de oproepen van specialisten in de media om met klachten wel de hulp van een dokter in te roepen, gehoord.",,www.parool.nl
19,Meer maatregelen om ondernemers en zzp’ers te steunen,Het kabinet laat de financiële regels voor ondernemers steeds verder vieren. Door het aanpassen van een aantal financiële regelingen moet het voor bedrijven en zzp’ers minder moeilijk worden om kosten te besparen. Dat maakt het kabinet vrijdag bekend.,,www.parool.nl
